name,address,website
"Fe Gallery ","1100 65th St, Sacramento, CA","fegallery.com"
"Sol Collective","2574 21st St, Sacramento, CA","solcollective.org"
"The Creation District","4625 44th Street, Sacramento, CA","http://www.thecreationdistrict.com/"
"Latino Center of Art and Culture","2700 Front Street, Sacramento, CA","http://www.thelatinocenter.com/"
"Axis Gallery","625 S St, Sacramento, CA","http://axisgallery.org"
"Public Land","2598 21st Street, Sacramento, CA","https://www.publiclandstore.com/"
"Sac Arts Center","5330B Gibbons Drive, Sacramento, CA","https://www.sacfinearts.org/"
"WAL","1108 R Street, Sacramento, CA","https://www.rstreetwal.com"
"The Broad Room","1409 Del Paso Blvd, Sacramento, CA","https://broadroom.org/"
"Artists Colaborative Gallery","129 K St, Sacramento, CA","https://www.artcollab.com/"
